config,n_r,n_theta,n_z_shroud,n_z_channel,n_dof,n_elem,n_modes,n_rigid,footprint_key,vane_area_frac,vane_cells_per_vane,mass_fem_g,mass_analytic_g,mass_fem_over_analytic,f_first_elastic_Hz,split_lo_Hz,split_hi_Hz,split_Hz,split_pct_of_f,partner_overlap,partner_dpsi_deg,n_protected_pairs,floor_pct_of_f_max,floor_pct_of_f_median,split_over_floor_decades,d_split_rel_pct,seconds
c6_asbuilt,18,108,2,2,37926,7992,20,6,18x108,0.0555555555555555,18.0,61.52498507951415,62.09401227791922,0.990836037525515,3603.410649146804,6197.103932045193,9337.120391673903,3140.0164596287123,40.42707758293722,0.9436226978330008,-31.194738678957314,5,4.4359317138799605e-09,8.422404884070007e-10,9.959687495866564,,12.594905376434326
c6_asbuilt,36,216,3,3,197028,47952,20,6,18x108,0.0555555555555555,72.0,61.55102423525732,62.09401227791922,0.9912553880359414,3312.2416612553,5519.661670859164,8350.12565793346,2830.4639870742967,40.81481453141634,0.9460005120979992,28.812058402694312,5,7.34819201109611e-10,4.3085749238853374e-10,10.74463733127661,0.9591020960732652,351.76481008529663
c6_asbuilt,54,324,4,4,549234,143856,20,6,18x108,0.0555555555555555,162.0,61.55584702658506,62.09401227791922,0.9913330572209532,3228.1668180446745,5331.443835762668,8058.397982862169,2726.954147099501,40.73168576653977,0.9477494612858358,28.83501720244271,5,2.051751207084535e-09,7.068347326360481e-10,10.29780768704999,0.2036730188068915,2654.702981710434
c6_web,18,108,2,2,43092,11664,20,6,18x108,1.0,324.0,168.46492173891903,168.55999140730506,0.9994359891241552,4731.96121539952,12045.194513008832,12045.19451314516,1.363277988275513e-07,1.1318023854205555e-09,1.0000000000000002,-29.99999999999923,5,1.0134394915293812e-09,4.350142594060345e-10,0.04797278113799103,,45.80273914337158
c6_web,36,216,3,3,239760,69984,20,6,18x108,1.0,1296.0,168.5362209733481,168.55999140730506,0.9998589793831946,4693.351735404601,11952.416915344995,11952.416915409494,6.449954526033252e-08,5.396360059809441e-10,1.0,-30.000000000003688,5,1.2720069496501269e-09,1.8791985818315678e-10,-0.3723885648256976,52.3206512963457,809.8597269058228
