m,xi_d,dtheta_deg,depth_frac,r1_mm,r2_mm,eta_bar,delta_eta,ratio_split_over_mean,B_signed,B_sign,psi_lower_deg,theta0_hat_deg,s_bar_radial_pct,s_bar_azavg_pct
1,0.2,10,0.1,16.632,22.631999999999998,-0.003992947103194149,0.0068389240797539184,1.7127509839244144,-1635830.44835762,-,22.918311805232925,22.918311805232925,7.684310018903587,0.21345305608065518
1,0.2,10,0.25,16.632,22.631999999999998,-0.00851005897482812,0.014573365792068834,1.7124870503454033,-3485863.4515763433,-,22.918311805232925,22.918311805232925,16.392958412098295,0.4553599558916192
1,0.2,10,0.5,16.632,22.631999999999998,-0.012853206299211172,0.022003492695507547,1.7119069112629077,-5263106.140932754,-,22.918311805232925,22.918311805232925,24.810964083175797,0.6891934467548833
1,0.2,20,0.1,16.632,22.631999999999998,-0.007985894206388297,0.013470050912007078,1.686730447948051,-3221957.0163120413,-,22.918311805232925,22.918311805232925,7.684310018903587,0.42690611216131036
1,0.2,20,0.25,16.632,22.631999999999998,-0.01702011794965624,0.02870392723902457,1.6864705241131606,-6865810.706108557,-,22.918311805232925,22.918311805232925,16.392958412098295,0.9107199117832384
1,0.2,20,0.5,16.632,22.631999999999998,-0.025706412598422344,0.04333842039976664,1.6858991986468936,-10366295.465033477,-,22.918311805232925,22.918311805232925,24.810964083175797,1.3783868935097665
1,0.2,30,0.1,16.632,22.631999999999998,-0.011978841309582445,0.01969189706347355,1.643889968533189,-4710186.050714739,-,22.918311805232925,22.918311805232925,7.684310018903587,0.6403591682419655
1,0.2,30,0.25,16.632,22.631999999999998,-0.02553017692448436,0.04196233438171056,1.6436366463824688,-10037143.776603514,-,22.918311805232925,22.918311805232925,16.392958412098295,1.3660798676748576
1,0.2,30,0.5,16.632,22.631999999999998,-0.03855961889763352,0.0633565321304777,1.6430798317450699,-15154510.147027768,-,22.918311805232925,22.918311805232925,24.810964083175797,2.0675803402646498
1,0.2,45,0.1,16.632,22.631999999999998,-0.01796826196437367,0.027848547896019222,1.549874325699144,-6661208.994221351,-,22.918311805232925,22.918311805232925,7.684310018903587,0.9605387523629484
1,0.2,45,0.25,16.632,22.631999999999998,-0.03829526538672654,0.059343702391449905,1.549635491285012,-14194664.856361398,-,22.918311805232925,22.918311805232925,16.392958412098295,2.0491198015122865
1,0.2,45,0.5,16.632,22.631999999999998,-0.05783942834645028,0.08959966700384832,1.549110521410387,-21431713.781047355,-,22.918311805232925,22.918311805232925,24.810964083175797,3.1013705103969746
1,0.2,60,0.1,16.632,22.631999999999998,-0.02395768261916489,0.034107366211352574,1.4236504737761435,-8158281.552940126,-,22.918311805232925,22.918311805232925,7.684310018903587,1.280718336483931
1,0.2,60,0.25,16.632,22.631999999999998,-0.05106035384896872,0.07268089515331705,1.4234310903582783,-17384842.98395105,-,22.918311805232925,22.918311805232925,16.392958412098295,2.732159735349715
1,0.2,60,0.5,16.632,22.631999999999998,-0.07711923779526704,0.10973673264135742,1.4229488747370915,-26248381.53847019,-,22.918311805232925,22.918311805232925,24.810964083175797,4.1351606805292995
1,0.2,90,0.1,16.632,22.631999999999998,-0.03593652392874734,0.039383794126947105,1.0959266456887926,-9420372.10142948,-,22.918311805232925,22.918311805232925,7.684310018903587,1.9210775047258968
1,0.2,90,0.25,16.632,22.631999999999998,-0.07659053077345308,0.08392466876342114,1.0957577642549794,-20074287.553207032,-,22.918311805232925,22.918311805232925,16.392958412098295,4.098239603024573
1,0.2,90,0.5,16.632,22.631999999999998,-0.11567885669290057,0.1267130642609554,1.0953865544967132,-30309020.29405554,-,22.918311805232925,22.918311805232925,24.810964083175797,6.202741020793949
1,0.5,10,0.1,22.980000000000004,28.980000000000004,-0.0008694334787061626,0.00010576086152808098,0.12164341967308158,-25297.376533882227,-,22.9183118052329,22.9183118052329,7.684310018903591,0.2134530560806553
1,0.5,10,0.25,22.980000000000004,28.980000000000004,-0.0017164239197946934,4.9659050804779126e-05,0.028931693524009497,11878.153112341417,+,112.91831180523288,22.91831180523287,16.392958412098302,0.4553599558916195
1,0.5,10,0.5,22.980000000000004,28.980000000000004,-0.00213899941420057,0.000988170567529321,0.46197795145195963,236364.5923955714,+,112.91831180523293,22.91831180523295,24.810964083175808,0.6891934467548835
1,0.5,20,0.1,22.980000000000004,28.980000000000004,-0.0017388669574123251,0.00020830823279620935,0.11979538279696847,-49826.105082872615,-,22.91831180523295,22.91831180523295,7.684310018903591,0.4269061121613106
