rail,mode,f_Hz,mass_total_g,ndof,phi2_max_all_per_kg,phi2_max_surface_per_kg,m_eff_all_g,m_eff_surface_g,antinode_r_mm,antinode_z_mm,phi2_max_all_times_mass,config,bc,mesh_size_mm,m_limit_all_half_floor_0p05pct_mg,m_limit_surface_half_floor_0p05pct_mg,m_limit_all_half_floor_0p05pct_pct_of_part,m_limit_all_floor_0p1pct_mg,m_limit_surface_floor_0p1pct_mg,m_limit_all_floor_0p1pct_pct_of_part,m_limit_all_half_tight_0p015pct_mg,m_limit_surface_half_tight_0p015pct_mg,m_limit_all_half_tight_0p015pct_pct_of_part,dff_pct_all_0p2g,dff_pct_surface_0p2g,dff_pct_all_0p5g,dff_pct_surface_0p5g,dff_pct_all_2g,dff_pct_surface_2g,mass_norm_dev,mode_kind,eb_tip_anchor_per_kg
canonical_b5_clamped,0,839.7060204327078,68.41827149035852,278520,57.994954132812296,57.73840529830959,17.242879401368842,17.31949462118721,37.0656320106896,5.1000000000000005,3.9679145169296417,asbuilt,bore clamp,1.2,17.242879401368842,17.31949462118721,0.02520215583610396,34.485758802737685,34.63898924237442,0.05040431167220792,5.172863820410652,5.195848386356162,0.007560646750831189,0.5799495413281229,0.5773840529830959,1.4498738533203075,1.4434601324577396,5.79949541328123,5.7738405298309585,,,
canonical_b5_clamped,1,847.8043724140231,68.41827149035852,278520,56.44583298575656,56.44583298575656,17.716099614516065,17.716099614516065,36.56000000000001,6.1000000000000005,3.8619263257189265,asbuilt,bore clamp,1.2,17.716099614516065,17.716099614516065,0.0258938134925151,35.43219922903213,35.43219922903213,0.0517876269850302,5.314829884354819,5.314829884354819,0.007768144047754529,0.5644583298575656,0.5644583298575656,1.411145824643914,1.411145824643914,5.644583298575656,5.644583298575656,,,
canonical_b5_clamped,2,1702.7913260524472,68.41827149035852,278520,22.480271002218025,22.480271002218025,44.483449505628045,44.483449505628045,36.55510600197358,6.1000000000000005,1.5380612846065869,asbuilt,bore clamp,1.2,44.48344950562805,44.48344950562805,0.06501691512609559,88.9668990112561,88.9668990112561,0.13003383025219117,13.345034851688414,13.345034851688414,0.019505074537828675,0.22480271002218027,0.22480271002218027,0.5620067750554506,0.5620067750554506,2.2480271002218024,2.2480271002218024,,,
canonical_b5_clamped,3,4298.999631427595,68.41827149035852,278520,75.46820954171686,75.46820954171686,13.25061249064384,13.25061249064384,36.56,6.1000000000000005,5.16340444931645,asbuilt,bore clamp,1.2,13.250612490643839,13.250612490643839,0.019367067015879102,26.501224981287677,26.501224981287677,0.038734134031758204,3.9751837471931517,3.9751837471931517,0.00581012010476373,0.7546820954171686,0.7546820954171686,1.8867052385429215,1.8867052385429215,7.546820954171686,7.546820954171686,,,
canonical_b5_clamped,4,4299.204901920058,68.41827149035852,278520,84.91357343251433,84.91357343251433,11.776680212319144,11.776680212319144,36.56,6.1000000000000005,5.80963992032226,asbuilt,bore clamp,1.2,11.776680212319144,11.776680212319144,0.017212770734757177,23.55336042463829,23.55336042463829,0.034425541469514355,3.5330040636957425,3.5330040636957425,0.005163831220427152,0.8491357343251432,0.8491357343251432,2.122839335812858,2.122839335812858,8.491357343251432,8.491357343251432,,,
canonical_b5_clamped,5,5068.535133667387,68.41827149035852,278520,28.91801751620647,28.68890929336234,34.580517127066955,34.85667544117359,37.0656320106896,5.1000000000000005,1.9785207733867574,asbuilt,bore clamp,1.2,34.580517127066955,34.8566754411736,0.050542810237379394,69.16103425413391,69.7133508823472,0.10108562047475879,10.374155138120086,10.457002632352077,0.015162843071213818,0.28918017516206473,0.2868890929336234,0.7229504379051618,0.7172227323340585,2.891801751620647,2.868890929336234,,,
canonical_b5_clamped,6,7522.160133008311,68.41827149035852,278520,82.62170108615965,82.62170108615965,12.103357675451138,12.103357675451138,36.56000000000001,0.0,5.65283397590812,asbuilt,bore clamp,1.2,12.10335767545114,12.10335767545114,0.017690241819623784,24.20671535090228,24.20671535090228,0.03538048363924757,3.631007302635341,3.631007302635341,0.0053070725458871345,0.8262170108615965,0.8262170108615965,2.0655425271539913,2.0655425271539913,8.262170108615965,8.262170108615965,,,
canonical_b5_clamped,7,8426.87939788253,68.41827149035852,278520,77.69579437124086,77.69579437124086,12.87070951642333,12.87070951642333,36.55999999999999,0.0,5.315811952950627,asbuilt,bore clamp,1.2,12.87070951642333,12.87070951642333,0.018811801637282032,25.74141903284666,25.74141903284666,0.037623603274564064,3.8612128549269986,3.8612128549269986,0.005643540491184609,0.7769579437124087,0.7769579437124087,1.9423948592810218,1.9423948592810218,7.769579437124087,7.769579437124087,,,
canonical_b5_clamped,8,8994.38748680619,68.41827149035852,278520,111.30133774793154,111.30133774793154,8.98461797705198,8.98461797705198,15.38841846856514,6.1000000000000005,7.615045143278069,asbuilt,bore clamp,1.2,8.98461797705198,8.98461797705198,0.013131898513861302,17.96923595410396,17.96923595410396,0.026263797027722604,2.695385393115594,2.695385393115594,0.003939569554158391,1.1130133774793156,1.1130133774793156,2.7825334436982883,2.7825334436982883,11.130133774793153,11.130133774793153,,,
canonical_b5_clamped,9,9012.19601720535,68.41827149035852,278520,114.24011020279227,114.24011020279227,8.753492956413114,8.753492956413114,15.388418468565144,6.1000000000000005,7.816110874943118,asbuilt,bore clamp,1.2,8.753492956413114,8.753492956413114,0.01279408667558439,17.506985912826227,17.506985912826227,0.02558817335116878,2.626047886923934,2.626047886923934,0.003838226002675317,1.1424011020279228,1.1424011020279228,2.856002755069807,2.856002755069807,11.424011020279227,11.424011020279227,,,
