config,damage_frac,mode,f_Hz,f_ratio,vane_participation,ndof,mesh_size_mm,t_front_mm,t_back_mm,t_vane_mm,channel_gap_mm,total_thickness_mm,r_vane_in_mm,wrap_deg,pair1_mean_Hz,pair1_mean_shift_pct,pair1_split_Hz,pair1_split_pct_of_f,pair1_member_shift_lo_pct,pair1_member_shift_hi_pct
asbuilt,0.0,0,874.2662230811444,1.0,4.540067643373279,382989,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,874.4389070826633,0.0,0.3453680030376063,0.03949595566256724,0.0,0.0
asbuilt,0.0,1,874.611591084182,1.0,4.53951725377557,382989,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,874.4389070826633,0.0,0.3453680030376063,0.03949595566256724,0.0,0.0
asbuilt,0.0,2,1748.9750509540613,1.0,5.999750897939753,382989,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,874.4389070826633,0.0,0.3453680030376063,0.03949595566256724,0.0,0.0
asbuilt,0.0,3,4300.5941703869985,1.0,5.688294456816878,382989,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,874.4389070826633,0.0,0.3453680030376063,0.03949595566256724,0.0,0.0
asbuilt,0.0,4,4301.004903651296,1.0,5.67298941552881,382989,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,874.4389070826633,0.0,0.3453680030376063,0.03949595566256724,0.0,0.0
asbuilt,0.0,5,5250.412119150789,1.0,5.999931635306746,382989,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,874.4389070826633,0.0,0.3453680030376063,0.03949595566256724,0.0,0.0
asbuilt,0.6,0,857.861304017755,0.9812357853588645,4.544889365657953,385176,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,865.0378110777589,-1.0751003790840818,14.353014120007856,1.6592354618725045,-1.8764214641135535,-0.2740957209871331
asbuilt,0.6,1,872.2143181377628,0.9972590427901287,4.534599026398709,385176,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,865.0378110777589,-1.0751003790840818,14.353014120007856,1.6592354618725045,-1.8764214641135535,-0.2740957209871331
asbuilt,0.6,2,1720.965861539077,0.9839853693740769,5.989959903382096,385176,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,865.0378110777589,-1.0751003790840818,14.353014120007856,1.6592354618725045,-1.8764214641135535,-0.2740957209871331
asbuilt,0.6,3,4283.386786350925,0.995998835659835,5.698811227029026,385176,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,865.0378110777589,-1.0751003790840818,14.353014120007856,1.6592354618725045,-1.8764214641135535,-0.2740957209871331
asbuilt,0.6,4,4301.593446181757,1.0001368383769944,5.668067381644436,385176,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,865.0378110777589,-1.0751003790840818,14.353014120007856,1.6592354618725045,-1.8764214641135535,-0.2740957209871331
asbuilt,0.6,5,5249.851633925532,0.9998932492892867,5.99946347598948,385176,1.0,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,865.0378110777589,-1.0751003790840818,14.353014120007856,1.6592354618725045,-1.8764214641135535,-0.2740957209871331
