plane,a_bar,ref,ndof,f1_healthy_Hz,f2_healthy_Hz,f3_healthy_Hz,f1_cracked_Hz,f2_cracked_Hz,f3_cracked_Hz,ratio_f1,ratio_f2,ratio_f3,shift_f2_pct,ratio_f2_hinge_matched,ratio_f3_hinge_matched,shift_f2_pct_hinge_matched,shift_f2_2d_over_hinge,c_theta_2d,c_theta_dimarogonas,c_theta_tada,nd_c_theta_2d,nd_c_theta_dimarogonas,nd_c_theta_tada,c2d_over_dimarogonas,c2d_over_tada,a_eq_dimarogonas,a_eq_tada,flap_kinds,a_eq_dim_over_physical,a_eq_tada_over_physical
stress,0.1,3,23568,881.3407863152935,5495.114502962605,15262.60295544498,878.2368377733494,5494.9391434813915,15246.80528562044,0.9964781517091464,0.9999680881115182,0.998964942620164,0.0031911888481839235,0.9999689945065533,0.9989640877363692,0.0031005493446700783,1.0292333691349427,0.0031410228894364614,0.0026599725490991507,0.0032988563307898414,0.0033678745425624284,0.002852081677645201,0.0035371070657913306,1.180847858937577,0.952155103003352,0.10912170355242927,0.09748264191990987,"flap,flap,flap,flap",1.0912170355242927,0.9748264191990986
stress,0.25,3,23568,881.3405012043017,5495.111775217747,15262.5911951077,862.1103365760933,5493.995095124814,15165.018346216315,0.9781807773477658,0.9997967866462755,0.9936070587461806,0.020321335372452953,0.9998096800526788,0.993610261967529,0.019031994732121582,1.0677459540357723,0.020008613850003153,0.015862840760890187,0.01987342501101955,0.021453680405836718,0.017008490371398927,0.02130872792848208,1.2613512391383492,1.0068024932244262,0.27937083879533503,0.2508222310853117,"flap,flap,flap,flap",1.1174833551813401,1.0032889243412468
stress,0.3,3,23568,881.3403826738916,5495.1111624225,15262.588650251544,853.2573210119091,5493.464262024953,15120.216370912407,0.9681359640224569,0.9997002971643579,0.9906718131110223,0.029970283564206834,0.9997231989596599,0.9906931222789989,0.027680104034011332,1.0827373888256162,0.029676612437180134,0.023311236927897324,0.029223048510561348,0.03181992333542093,0.024994826261578805,0.0313336020141019,1.2730603926754807,1.0155207601443383,0.33459414947197114,0.3021300376117137,"flap,flap,flap,flap",1.1153138315732372,1.007100125372379
stress,0.5,3,23568,881.3402757203107,5495.110088804065,15262.584273893932,790.7441300078041,5489.693273028718,14805.028754190302,0.8972063932532037,0.9990142479972544,0.9700210979023872,0.09857520027456435,0.9991336766527071,0.9706475422407004,0.08663233472928633,1.1378569050758907,0.10742393506345871,0.08282616834520724,0.1050425732435285,0.11518233037359742,0.08880805828125002,0.11262898131111669,1.2969806186823905,1.0226704444340802,0.542891417679117,0.5036916203129336,"flap,flap,flap,flap",1.085782835358234,1.0073832406258671
stress,0.6,3,23568,881.3402308484166,5495.110348388242,15262.585348963714,732.4965882108784,5486.321954399006,14514.409703251325,0.8311167045055292,0.9984006883516338,0.9509797567970234,0.15993116483662417,0.9986185397560154,0.953056654739533,0.13814602439845558,1.1576964703329684,0.19846085169335442,0.15372287289202863,0.1956563859746121,0.21279413542676343,0.1648250803786752,0.20978712496166746,1.2910300722310122,1.0143336273169548,0.6387740063581994,0.6021952518488428,"flap,flap,flap,flap",1.0646233439303323,1.0036587530814047
stress,0.625,3,23568,881.3403161625313,5495.110504822204,15262.585962338839,713.4084659286519,5485.2591062624715,14420.308150082823,0.8094585631063876,0.9982072428659828,0.9448142133754807,0.17927571340171644,0.9984570972780024,0.9475588894760267,0.1542902721997641,1.1619378904821878,0.23324434704599092,0.18100696998039828,0.2306145338301596,0.25008977211042366,0.19407969559009372,0.24727002794011563,1.288593179982238,1.011403501644732,0.662391942737237,0.6266943410835351,"flap,flap,flap,flap",1.0598271083795792,1.002710945733656
strain,0.1,3,23568,921.3944321037133,5742.987776607805,15943.17019683209,918.1374465677535,5742.799869142052,15926.708125869816,0.9964651560477488,0.9999672805387957,0.99896745310004,0.003271946120431135,0.99996896488557,0.9989602652006879,0.0031035114430033595,1.0542722914096223,0.0031528212063524296,0.0026599725490991507,0.0032988563307898414,0.0033805249601445504,0.002852081677645201,0.0035371070657913306,1.185283362198678,0.9557315900439814,0.10933667056762757,0.09767282180700203,"flap,flap,flap,flap",1.0933667056762757,0.9767282180700202
strain,0.25,3,23568,921.3939675710649,5742.983166400707,15943.15246157702,901.248039433715,5741.789600425602,15841.63852329446,0.9781353809050242,0.9997921696894241,0.9936327562238894,0.020783031057591828,0.9998092676030419,0.9935970259695573,0.01907323969581043,1.089643468495652,0.020051654639814537,0.015862840760890187,0.01987342501101955,0.02149982969713448,0.017008490371398927,0.02130872792848208,1.2640645482145836,1.008968239178509,0.27965392341206524,0.2510833231005598,"flap,flap,flap,flap",1.118615693648261,1.0043332924022392
strain,0.3,3,23568,921.3938413518663,5742.982095128879,15943.1484817828,891.9783205210599,5741.222665336172,15795.050247511625,0.9680749756394638,0.9996936382939101,0.9907108539796642,0.0306361706089886,0.9997226722542878,0.9906754561666757,0.02773277457122081,1.1046918702747015,0.029736242418150455,0.023311236927897324,0.029223048510561348,0.031883859926127994,0.024994826261578805,0.0313336020141019,1.2756183856792307,1.017561272137766,0.33489144717882763,0.3024082267546311,"flap,flap,flap,flap",1.1163048239294255,1.008027422515437
strain,0.5,3,23568,921.3936126791485,5742.980184492799,15943.141487078432,826.533522654402,5737.201528948778,15467.349303751242,0.8970471590866355,0.998993788005812,0.9701569365289263,0.10062119941880443,0.9991323986112515,0.9706037858937684,0.0867601388748529,1.1597630054966304,0.10761947587801807,0.08282616834520724,0.1050425732435285,0.11539199358031939,0.08880805828125002,0.11262898131111669,1.2993414765907796,1.0245319831275965,0.5431879921700292,0.5039909910105471,"flap,flap,flap,flap",1.0863759843400584,1.0079819820210942
