xi_d,s_bar,sigma_rel,f_max_kHz,set,model,n_obs,det_F,sigma_min,cond2,crlb_xi_mm,crlb_s_pp,labels,pool_ms,mass_coupling
0.2,0.05,0.0003,20.0,freq_only,pocket,3,17295012.57516704,11.31427848861552,32.48678338217006,1.83906759149812,1.6289241704146478,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.2,0.05,0.0003,20.0,freq_plus_splitting,pocket,6,398712156.95272136,45.42568683325146,9.676687894000413,0.4542978497876106,0.5370714100240056,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.2,0.05,0.001,20.0,default_m0_3,gaussian_radial,4,3469706883.5347695,40.658746935334115,35.6318534863808,0.5164498135869336,0.3113176637607226,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.2,0.05,0.001,20.0,d_optimal_4,gaussian_radial,4,6064704459.237324,62.19650411409396,20.131348685787067,0.3378298847735329,0.20604064484853946,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.2,0.05,0.001,20.0,all_measurable,gaussian_radial,5,8371194043.029016,62.203329075100825,23.646477088631425,0.3378067081312519,0.20119342740621077,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.2,0.05,0.001,20.0,freq_only,pocket,3,140089.60185885557,3.394283546584654,32.486783382170074,6.13022530499368,5.429747234715444,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.2,0.05,0.001,20.0,freq_plus_splitting,pocket,6,3229568.471317044,13.627706049975433,9.676687894000414,1.5143261659587017,1.7902380334133519,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.2,0.05,0.003,20.0,default_m0_3,gaussian_radial,4,42835887.45104664,13.552915645111367,35.63185348638082,1.5493494407608004,0.9339529912821678,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.2,0.05,0.003,20.0,d_optimal_4,gaussian_radial,4,74872894.55848512,20.73216803803132,20.131348685787067,1.0134896543205993,0.6181219345456189,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.2,0.05,0.003,20.0,all_measurable,gaussian_radial,5,103348074.60529672,20.73444302503361,23.646477088631425,1.0134201243937557,0.6035802822186325,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.2,0.05,0.003,20.0,freq_only,pocket,3,1729.5012575167334,1.1314278488615526,32.486783382170024,18.39067591498105,16.28924170414634,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.2,0.05,0.003,20.0,freq_plus_splitting,pocket,6,39871.2156952721,4.542568683325145,9.676687894000413,4.5429784978761045,5.370714100240056,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.5,0.01,0.0001,20.0,default_m0_3,gaussian_radial,4,667464179369.896,121.65415578688514,55.20266990741651,0.17391405195752482,0.019744999292846493,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.5,0.01,0.0001,20.0,d_optimal_4,gaussian_radial,4,1471549263042.723,167.53838115850493,43.21741368389647,0.12629939053500908,0.013816624969199116,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.01,0.0001,20.0,all_measurable,gaussian_radial,5,2124663595887.1687,180.08095135673372,44.94791342252479,0.11750139404089945,0.012631096342135923,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.01,0.0001,20.0,freq_only,pocket,3,21037040.090852372,11.087863672741555,37.307535606624874,1.9073496215015935,0.383858319528069,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.5,0.01,0.0001,20.0,freq_plus_splitting,pocket,6,100142646.58299752,20.5375438245901,23.72534443474602,1.030134393989859,0.22386970782041216,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.5,0.01,0.0003,20.0,default_m0_3,gaussian_radial,4,8240298510.739476,40.55138526229505,55.20266990741651,0.5217421558725744,0.05923499787853948,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.5,0.01,0.0003,20.0,d_optimal_4,gaussian_radial,4,18167274852.379337,55.84612705283496,43.2174136838965,0.3788981716050272,0.041449874907597335,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.01,0.0003,20.0,all_measurable,gaussian_radial,5,26230414764.03909,60.026983785577904,44.94791342252479,0.3525041821226983,0.03789328902640777,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.01,0.0003,20.0,freq_only,pocket,3,259716.54433151137,3.695954557580519,37.307535606624874,5.722048864504779,1.1515749585842068,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.5,0.01,0.0003,20.0,freq_plus_splitting,pocket,6,1236328.9701604617,6.845847941530034,23.725344434746013,3.090403181969578,0.6716091234612365,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.5,0.01,0.001,20.0,default_m0_3,gaussian_radial,4,66746417.936989546,12.165415578688513,55.20266990741652,1.7391405195752483,0.19744999292846493,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.5,0.01,0.001,20.0,d_optimal_4,gaussian_radial,4,147154926.30427268,16.753838115850492,43.217413683896474,1.2629939053500907,0.13816624969199112,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.01,0.001,20.0,all_measurable,gaussian_radial,5,212466359.58871594,18.008095135673372,44.94791342252479,1.1750139404089945,0.12631096342135925,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.01,0.001,20.0,freq_only,pocket,3,2103.7040090852392,1.1087863672741558,37.30753560662487,19.073496215015936,3.8385831952806906,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.5,0.01,0.001,20.0,freq_plus_splitting,pocket,6,10014.264658299742,2.05375438245901,23.72534443474602,10.301343939898592,2.2386970782041216,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.5,0.01,0.003,20.0,default_m0_3,gaussian_radial,4,824029.8510739454,4.055138526229505,55.20266990741651,5.2174215587257455,0.5923499787853949,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.5,0.01,0.003,20.0,d_optimal_4,gaussian_radial,4,1816727.485237932,5.584612705283496,43.21741368389649,3.788981716050272,0.4144987490759734,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.01,0.003,20.0,all_measurable,gaussian_radial,5,2623041.4764039065,6.00269837855779,44.9479134225248,3.5250418212269836,0.3789328902640778,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.01,0.003,20.0,freq_only,pocket,3,25.971654433151112,0.36959545575805186,37.307535606624874,57.22048864504781,11.515749585842071,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.5,0.01,0.003,20.0,freq_plus_splitting,pocket,6,123.63289701604627,0.6845847941530033,23.725344434746017,30.904031819695778,6.7160912346123665,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.5,0.05,0.0001,20.0,default_m0_3,gaussian_radial,4,16686604484247.375,606.4477710131556,11.107010381098279,0.03478281039150495,0.019744999292846493,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.5,0.05,0.0001,20.0,d_optimal_4,gaussian_radial,4,36788731576068.15,837.6875063421821,8.643573526417805,0.025259878107001813,0.013816624969199116,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.05,0.0001,20.0,all_measurable,gaussian_radial,5,53116589897179.14,900.1596091065189,8.994479761372762,0.023500278808179884,0.012631096342135923,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.05,0.0001,20.0,freq_only,pocket,3,511280728.3086816,55.550630616807844,7.3274307830936865,0.375147904332825,0.39713713675047146,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.5,0.05,0.0001,20.0,freq_plus_splitting,pocket,6,2595660456.504261,105.56647652594448,4.571638564696678,0.1996131471818831,0.2243740944980877,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.5,0.05,0.0003,20.0,default_m0_3,gaussian_radial,4,206007462768.48657,202.1492570043852,11.10701038109828,0.10434843117451487,0.05923499787853947,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.5,0.05,0.0003,20.0,d_optimal_4,gaussian_radial,4,454181871309.4827,279.2291687807273,8.643573526417809,0.07577963432100544,0.04144987490759734,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.05,0.0003,20.0,all_measurable,gaussian_radial,5,655760369100.9762,300.0532030355063,8.994479761372764,0.07050083642453966,0.037893289026407775,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.05,0.0003,20.0,freq_only,pocket,3,6312107.756897307,18.51687687226929,7.327430783093682,1.1254437129984751,1.1914114102514144,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.5,0.05,0.0003,20.0,freq_plus_splitting,pocket,6,32045190.821040217,35.18882550864816,4.571638564696679,0.5988394415456494,0.6731222834942633,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.5,0.05,0.001,20.0,default_m0_3,gaussian_radial,4,1668660448.424742,60.644777101315555,11.107010381098283,0.3478281039150496,0.1974499929284649,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.5,0.05,0.001,20.0,d_optimal_4,gaussian_radial,4,3678873157.6068115,83.76875063421822,8.643573526417804,0.2525987810700181,0.13816624969199112,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.05,0.001,20.0,all_measurable,gaussian_radial,5,5311658989.717909,90.0159609106519,8.99447976137276,0.23500278808179884,0.12631096342135925,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.05,0.001,20.0,freq_only,pocket,3,51128.072830868296,5.5550630616807855,7.327430783093685,3.7514790433282488,3.9713713675047133,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.5,0.05,0.001,20.0,freq_plus_splitting,pocket,6,259566.0456504254,10.556647652594448,4.57163856469668,1.9961314718188314,2.2437409449808774,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.5,0.05,0.003,20.0,default_m0_3,gaussian_radial,4,20600746.27684864,20.214925700438513,11.107010381098283,1.043484311745149,0.5923499787853949,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
