xi_true,s_bar_true,prof_lo,prof_hi,prof_halfwidth_mm,crlb_xi_mm,local_minima_in_grid,mass_coupling
0.2,0.01,0.02,0.34,3.3856,2.7080499830318834,8,exact
0.2,0.05,0.12400000000000001,0.24,1.22728,0.5426828848356183,8,exact
0.5,0.01,0.29000000000000004,0.598,3.2586399999999998,1.4158413549337117,5,exact
0.5,0.05,0.47400000000000003,0.524,0.5289999999999999,0.27928623124259694,6,exact
0.8,0.01,0.7200000000000001,0.98,2.750799999999999,1.1369804936197172,3,exact
0.8,0.05,0.78,0.8240000000000001,0.4655200000000005,0.24113527849659655,3,exact
