label,m,n,f_Hz,measurable
m0n0,0,0,3429.6433998255966,True
m1n0,1,0,3481.0509673844067,True
m2n0,2,0,3972.940659684851,True
m3n0,3,0,5526.83695599285,True
m0n1,0,1,22326.42735349176,False
m1n1,1,1,22965.23128844214,False
m2n1,2,1,24902.30570274298,False
m3n1,3,1,28187.814399187602,False
