nr,ntheta,nz,ndof,f_m0_healthy,f_m2_healthy,eta_bar_m2,delta_eta_m2,shape_exact,snap_r1_mm,snap_r2_mm,dtheta_actual_deg,depth_actual,r1_actual_mm,r2_actual_mm,geometry_key
10,24,2,14400,3458.0996745771085,3962.490456971277,-0.021208247046620166,0.00968093672396287,True,3.469446951953614e-15,0.0,29.999999999999996,0.5,21.748000000000005,28.096000000000004,30.00deg_d0.500_r21.75-28.10
20,48,4,103680,3420.960913897698,3915.4448410900363,-0.02236539229128509,0.009428700654837977,True,3.469446951953614e-15,0.0,29.999999999999996,0.5,21.748000000000005,28.096000000000004,30.00deg_d0.500_r21.75-28.10
30,48,4,155520,3419.3016163282377,3913.661949729149,-0.0224284877194314,0.0093973558204811,True,3.469446951953614e-15,0.0,29.999999999999996,0.5,21.748000000000005,28.096000000000004,30.00deg_d0.500_r21.75-28.10
20,48,8,195840,3420.870982342466,3915.3142351525935,-0.02238346971516414,0.009404690166195566,True,3.469446951953614e-15,0.0,29.999999999999996,0.5,21.748000000000005,28.096000000000004,30.00deg_d0.500_r21.75-28.10
20,96,4,207360,3413.632606935576,3906.7358884556043,-0.022677780933659242,0.009412746363988294,True,3.469446951953614e-15,0.0,29.999999999999996,0.5,21.748000000000005,28.096000000000004,30.00deg_d0.500_r21.75-28.10
