block,p_depth_frac,t_f_mm,s_mm,t_f_over_s,d_K_asbuilt,d_K_thin_face,d_K_first_order,dK_asbuilt_over_thin,dK_asbuilt_over_first_order,d_M,zeta_asbuilt,zeta_thin_face,d_K_monolithic,d_M_monolithic,zeta_monolithic,d_K_sandwich,d_M_sandwich,zeta_sandwich,d_M_asbuilt,dK_ratio_mono_over_sw,dK_ratio_mono_over_asbuilt,d_K,dM_ratio_sw_over_mono,dM_ratio_asbuilt_over_mono,dM_ratio_asbuilt_over_sw,law,m,n,xi_star,r_star_mm,xi_d,s_bar,sigma_rel,cond2,det_F,crlb_xi_mm,crlb_s_pp,crlb_xi_ratio_sw_over_mono,crlb_s_ratio_sw_over_mono,cond2_ratio_sw_over_mono,crlb_xi_ratio_asbuilt_over_mono,crlb_s_ratio_asbuilt_over_mono,cond2_ratio_asbuilt_over_mono,abs_err_over_floor_max,abs_err_over_floor_m0,worst_mode,d_K_local_target,depth_mm_monolithic,depth_mm_sandwich,depth_mm_asbuilt,depth_ratio_sw_over_mono,depth_ratio_asbuilt_over_mono
sign_reversal,,,,,,,,,,,,,,,,,,,,,,,,,,exact,2.0,0.0,0.7057829414707354,30.33436704152076,,,,,,,,,,,,,,,,,,,,,,
sign_reversal,,,,,,,,,,,,,,,,,,,,,,,,,,exact,3.0,0.0,0.9660765382691346,35.8421795497749,,,,,,,,,,,,,,,,,,,,,,
sign_reversal,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,0.0,0.0,0.5204891945972987,26.41355135767884,,,,,,,,,,,,,,,,,,,,,,
sign_reversal,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,1.0,0.0,0.5249009504752377,26.506904112056027,,,,,,,,,,,,,,,,,,,,,,
sign_reversal,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,2.0,0.0,0.5557832416208105,27.16037339269635,,,,,,,,,,,,,,,,,,,,,,
sign_reversal,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,3.0,0.0,0.6278419209604803,28.68513504752376,,,,,,,,,,,,,,,,,,,,,,
sign_reversal,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,0.0,0.0,0.5499009004502252,27.035903053526766,,,,,,,,,,,,,,,,,,,,,,
sign_reversal,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,1.0,0.0,0.5552930465232617,27.150000864432222,,,,,,,,,,,,,,,,,,,,,,
sign_reversal,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,2.0,0.0,0.5954890445222611,28.00054818209105,,,,,,,,,,,,,,,,,,,,,,
sign_reversal,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,3.0,0.0,0.6964692346173087,30.137289004502254,,,,,,,,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.2,0.01,0.001,194.53116100367006,159323254.39005977,2.6259554194111723,0.3357123446595685,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.2,0.01,0.001,211.9530703834221,127072679.59443516,2.900306235422352,0.39847524037682047,,,,,,,,,,,,,,,
