sigma_rel,xi_d,s_bar,sigma_min,sigma_max,cond2,det_F,tr_Finv,corr,crlb_xi_mm,crlb_s_pp,mass_coupling
0.0001,0.2,0.01,78.11103064233697,14273.44587758275,182.73278127566272,1243032264814.2434,0.00016390351587843832,0.9785129135732477,0.2708049983031883,0.033990658378256024,exact
0.0001,0.2,0.05,386.6504490942981,14382.449006200703,37.19754894864494,30924502645755.72,6.69386151030498e-06,0.9786468239750871,0.05426828848356198,0.034111655366092106,exact
0.0001,0.2,0.15,1080.4122030421327,15300.712080010526,14.161920827002957,273276475254424.3,8.60956218294364e-07,0.9791209450854527,0.018221383694279114,0.034557443015771884,exact
0.0001,0.5,0.01,149.34545083338557,5179.213174420722,34.67941705300962,598289760354.6068,4.487215885805206e-05,0.7940703594706197,0.14158413549337115,0.03178821331815358,exact
0.0001,0.5,0.05,743.1589365132332,5149.707821306102,6.929483813338229,14646322325135.365,1.8483667946649922e-06,0.7945197610442813,0.0279286231242597,0.03260188344244102,exact
0.0001,0.5,0.15,1920.7002225021968,5675.664477995467,2.9549975636497203,118837252123559.56,3.021128137006294e-07,0.7901087153327911,0.008765350793020826,0.03612710447994466,exact
0.0001,0.8,0.01,185.97299692590576,3618.8737197766754,19.459135356185527,452946217069.37427,2.8989828064431646e-05,-0.593139924369179,0.11369804936197171,0.034347080874874904,exact
0.0001,0.8,0.05,857.8786245298509,4048.4436448803044,4.71913337052663,12062237907923.49,1.4197905737663515e-06,-0.6877844574298434,0.024113527849659654,0.03480608802427251,exact
0.0001,0.8,0.15,1621.6772938686895,7092.242277640174,4.37339926041688,132280551842372.45,4.001324233457071e-07,-0.8873841238016953,0.010930682327745299,0.036508200978209136,exact
0.0001,0.95,0.01,55.97726540266238,4307.242997496703,76.94629179387962,58132915488.60769,0.000319190522920919,0.9063535865212026,0.3778635454820917,0.05496956668214747,exact
0.0001,0.95,0.05,294.34861840886305,4947.233886268252,16.80739632144741,2120551814396.342,1.1582722981749953e-05,0.9053082972080295,0.07129532768192817,0.04798345957462409,exact
0.0001,0.95,0.15,1016.8416439515488,8298.697286350609,8.161248445825878,71207623901843.92,9.816693739944758e-07,0.911226791779533,0.019945612651642176,0.030521647022495813,exact
0.0003,0.2,0.01,26.03701021411232,4757.815292527583,182.73278127566272,15346077343.385538,0.0014751316429059578,0.9785129135732479,0.8124149949095685,0.10197197513476851,exact
0.0003,0.2,0.05,128.88348303143266,4794.149668733568,37.19754894864496,381783983280.933,6.024475359274498e-05,0.9786468239750874,0.16280486545068615,0.10233496609827646,exact
0.0003,0.2,0.15,360.1374010140442,5100.237360003509,14.161920827002959,3373783645116.369,7.748605964649236e-06,0.9791209450854524,0.0546641510828372,0.10367232904731538,exact
0.0003,0.5,0.01,49.78181694446186,1726.4043914735742,34.67941705300963,7386293337.711185,0.0004038494297224685,0.7940703594706197,0.4247524064801134,0.09536463995446075,exact
0.0003,0.5,0.05,247.71964550441118,1716.5692737687004,6.929483813338225,180818794137.47278,1.6635301151984934e-05,0.7945197610442816,0.08378586937277908,0.09780565032732308,exact
0.0003,0.5,0.15,640.233407500732,1891.8881593318226,2.9549975636497217,1467126569426.6543,2.719015323305663e-06,0.790108715332791,0.026296052379062473,0.10838131343983394,exact
0.0003,0.8,0.01,61.99099897530192,1206.2912399255586,19.45913535618553,5591928605.794737,0.0002609084525798848,-0.5931399243691793,0.3410941480859152,0.10304124262462472,exact
0.0003,0.8,0.05,285.9595415099503,1349.4812149601019,4.719133370526631,148916517381.77185,1.2778115163897165e-05,-0.6877844574298437,0.07234058354897896,0.10441826407281753,exact
0.0003,0.8,0.15,540.55909795623,2364.0807592133906,4.373399260416877,1633093232621.886,3.6011918101113654e-06,-0.8873841238016952,0.03279204698323591,0.10952460293462742,exact
0.0003,0.95,0.01,18.659088467554124,1435.7476658322341,76.94629179387964,717690314.6741757,0.002872714706288263,0.9063535865212023,1.1335906364462736,0.16490870004644215,exact
0.0003,0.95,0.05,98.11620613628767,1649.0779620894177,16.807396321447413,26179652029.58453,0.00010424450683574956,0.9053082972080296,0.2138859830457845,0.14395037872387223,exact
0.0003,0.95,0.15,338.9472146505162,2766.2324287835368,8.161248445825882,879106467924.0011,8.835024365950261e-06,0.9112267917795328,0.05983683795492644,0.09156494106748733,exact
