config,damage_frac,mode,f_Hz,f_ratio,vane_participation,ndof,mesh_size_mm,t_front_mm,t_back_mm,t_vane_mm,channel_gap_mm,total_thickness_mm,r_vane_in_mm,wrap_deg,pair1_mean_Hz,pair1_mean_shift_pct,pair1_split_Hz,pair1_split_pct_of_f,pair1_member_shift_lo_pct,pair1_member_shift_hi_pct
asbuilt,0.0,0,839.7060204325929,1.0,4.532123466207975,278520,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,843.7551964233421,0.0,8.098351981498354,0.9597987681530226,0.0,0.0
asbuilt,0.0,1,847.8043724140913,1.0,4.53846581922862,278520,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,843.7551964233421,0.0,8.098351981498354,0.9597987681530226,0.0,0.0
asbuilt,0.0,2,1702.7913260526402,1.0,5.9986983735111945,278520,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,843.7551964233421,0.0,8.098351981498354,0.9597987681530226,0.0,0.0
asbuilt,0.0,3,4298.999631428018,1.0,5.689319363492272,278520,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,843.7551964233421,0.0,8.098351981498354,0.9597987681530226,0.0,0.0
asbuilt,0.0,4,4299.204901921906,1.0,5.682146411808321,278520,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,843.7551964233421,0.0,8.098351981498354,0.9597987681530226,0.0,0.0
asbuilt,0.0,5,5068.535133667656,1.0,5.999924639972908,278520,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,843.7551964233421,0.0,8.098351981498354,0.9597987681530226,0.0,0.0
asbuilt,0.0,6,7522.16013300919,1.0,5.999927024146094,278520,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,843.7551964233421,0.0,8.098351981498354,0.9597987681530226,0.0,0.0
asbuilt,0.0,7,8426.879397883096,1.0,5.991496498494653,278520,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,843.7551964233421,0.0,8.098351981498354,0.9597987681530226,0.0,0.0
asbuilt,0.0,8,8994.387486806407,1.0,4.73978451851139,278520,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,843.7551964233421,0.0,8.098351981498354,0.9597987681530226,0.0,0.0
asbuilt,0.0,9,9012.196017206974,1.0,4.749378923689376,278520,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,843.7551964233421,0.0,8.098351981498354,0.9597987681530226,0.0,0.0
asbuilt,0.3,0,839.6698504769153,0.9999569254539118,4.542127067982103,279051,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,842.9879713817872,-0.09092981528375788,6.636241809743979,0.7872285293544764,-0.004307454608820649,-0.1767247464371735
asbuilt,0.3,1,846.3060922866592,0.9982327525356283,4.54325660099038,279051,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,842.9879713817872,-0.09092981528375788,6.636241809743979,0.7872285293544764,-0.004307454608820649,-0.1767247464371735
asbuilt,0.3,2,1694.3374322873085,0.9950352731799913,5.999513554080927,279051,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,842.9879713817872,-0.09092981528375788,6.636241809743979,0.7872285293544764,-0.004307454608820649,-0.1767247464371735
asbuilt,0.3,3,4292.136784796796,0.9984036177670147,5.689563797178356,279051,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,842.9879713817872,-0.09092981528375788,6.636241809743979,0.7872285293544764,-0.004307454608820649,-0.1767247464371735
asbuilt,0.3,4,4299.618645069316,1.000096237131481,5.680864434122413,279051,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,842.9879713817872,-0.09092981528375788,6.636241809743979,0.7872285293544764,-0.004307454608820649,-0.1767247464371735
asbuilt,0.3,5,5094.781088701417,1.0051782131013403,5.999989253389239,279051,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,842.9879713817872,-0.09092981528375788,6.636241809743979,0.7872285293544764,-0.004307454608820649,-0.1767247464371735
asbuilt,0.3,6,7506.592338562463,0.9979304090618316,5.997964545560571,279051,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,842.9879713817872,-0.09092981528375788,6.636241809743979,0.7872285293544764,-0.004307454608820649,-0.1767247464371735
asbuilt,0.3,7,8426.235577023052,0.9999235991368043,5.961438293824738,279051,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,842.9879713817872,-0.09092981528375788,6.636241809743979,0.7872285293544764,-0.004307454608820649,-0.1767247464371735
asbuilt,0.3,8,8917.098798302533,0.9914070092469058,4.725143058652049,279051,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,842.9879713817872,-0.09092981528375788,6.636241809743979,0.7872285293544764,-0.004307454608820649,-0.1767247464371735
asbuilt,0.3,9,9026.012201361766,1.0015330541111636,4.747869787713706,279051,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,842.9879713817872,-0.09092981528375788,6.636241809743979,0.7872285293544764,-0.004307454608820649,-0.1767247464371735
asbuilt,0.6,0,831.789954480159,0.9905728126751363,4.539681702172563,279597,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,837.1134586659314,-0.787164071470603,10.64700837154453,1.2718716037025817,-0.9427187324863695,-0.6330952914413768
asbuilt,0.6,1,842.4369628517036,0.9936690470855862,4.542040433783486,279597,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,837.1134586659314,-0.787164071470603,10.64700837154453,1.2718716037025817,-0.9427187324863695,-0.6330952914413768
asbuilt,0.6,2,1678.2708714604128,0.9855998476048912,5.995247174821895,279597,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,837.1134586659314,-0.787164071470603,10.64700837154453,1.2718716037025817,-0.9427187324863695,-0.6330952914413768
asbuilt,0.6,3,4281.675201532513,0.9959701252894152,5.696106282156293,279597,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,837.1134586659314,-0.787164071470603,10.64700837154453,1.2718716037025817,-0.9427187324863695,-0.6330952914413768
asbuilt,0.6,4,4299.811733059935,1.0001411496199584,5.676374921505787,279597,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,837.1134586659314,-0.787164071470603,10.64700837154453,1.2718716037025817,-0.9427187324863695,-0.6330952914413768
asbuilt,0.6,5,5081.857586018637,1.0026284620703303,5.999955629346477,279597,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,837.1134586659314,-0.787164071470603,10.64700837154453,1.2718716037025817,-0.9427187324863695,-0.6330952914413768
asbuilt,0.6,6,7479.060604998642,0.994270325644702,5.98673960014439,279597,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,837.1134586659314,-0.787164071470603,10.64700837154453,1.2718716037025817,-0.9427187324863695,-0.6330952914413768
asbuilt,0.6,7,8403.229445205054,0.9971935100098877,5.610444580197151,279597,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,837.1134586659314,-0.787164071470603,10.64700837154453,1.2718716037025817,-0.9427187324863695,-0.6330952914413768
asbuilt,0.6,8,8787.357210678923,0.9769822818472998,4.599701918943741,279597,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,837.1134586659314,-0.787164071470603,10.64700837154453,1.2718716037025817,-0.9427187324863695,-0.6330952914413768
asbuilt,0.6,9,9039.771516050563,1.0030597979439129,4.751878206351019,279597,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,17.0,90.0,837.1134586659314,-0.787164071470603,10.64700837154453,1.2718716037025817,-0.9427187324863695,-0.6330952914413768
vane_in19,0.0,0,783.1457949749523,1.0,4.558161247116509,277488,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,786.1919550987444,0.0,6.092320247584212,0.7749151092266043,0.0,0.0
vane_in19,0.0,1,789.2381152225365,1.0,4.545830985553998,277488,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,786.1919550987444,0.0,6.092320247584212,0.7749151092266043,0.0,0.0
vane_in19,0.0,2,1499.7787093727952,1.0,5.9994139222012315,277488,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,786.1919550987444,0.0,6.092320247584212,0.7749151092266043,0.0,0.0
vane_in19,0.0,3,4568.345431534074,1.0,5.705765714318219,277488,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,786.1919550987444,0.0,6.092320247584212,0.7749151092266043,0.0,0.0
vane_in19,0.0,4,4568.602737300873,1.0,5.693365924020097,277488,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,786.1919550987444,0.0,6.092320247584212,0.7749151092266043,0.0,0.0
vane_in19,0.0,5,5084.476189183407,1.0,5.99982542916779,277488,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,786.1919550987444,0.0,6.092320247584212,0.7749151092266043,0.0,0.0
vane_in19,0.0,6,8203.820472731499,1.0,5.999672608790387,277488,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,786.1919550987444,0.0,6.092320247584212,0.7749151092266043,0.0,0.0
vane_in19,0.0,7,8671.714208880874,1.0,5.8468217446719,277488,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,786.1919550987444,0.0,6.092320247584212,0.7749151092266043,0.0,0.0
vane_in19,0.0,8,8744.452497043361,1.0,4.846006312560446,277488,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,786.1919550987444,0.0,6.092320247584212,0.7749151092266043,0.0,0.0
vane_in19,0.0,9,8752.29275692289,1.0,4.795729370798522,277488,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,786.1919550987444,0.0,6.092320247584212,0.7749151092266043,0.0,0.0
vane_in19,0.3,0,783.2138818217109,1.0000869401932506,4.542239411227662,278565,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,784.2338798977421,-0.2490581579095874,2.039996152062372,0.260125991028132,0.008694019325061753,-0.5048206836335889
vane_in19,0.3,1,785.2538779737732,0.9949517931636641,4.542340754902382,278565,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,784.2338798977421,-0.2490581579095874,2.039996152062372,0.260125991028132,0.008694019325061753,-0.5048206836335889
vane_in19,0.3,2,1491.5194096195423,0.994492987731032,5.997950854411593,278565,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,784.2338798977421,-0.2490581579095874,2.039996152062372,0.260125991028132,0.008694019325061753,-0.5048206836335889
vane_in19,0.3,3,4559.993396758389,0.9981717593599572,5.714873782516943,278565,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,784.2338798977421,-0.2490581579095874,2.039996152062372,0.260125991028132,0.008694019325061753,-0.5048206836335889
vane_in19,0.3,4,4569.558015336521,1.0002090963234445,5.691328530788725,278565,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,784.2338798977421,-0.2490581579095874,2.039996152062372,0.260125991028132,0.008694019325061753,-0.5048206836335889
vane_in19,0.3,5,5093.991032800205,1.001871351789795,5.999720603007837,278565,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,784.2338798977421,-0.2490581579095874,2.039996152062372,0.260125991028132,0.008694019325061753,-0.5048206836335889
vane_in19,0.3,6,8182.0063936925735,0.9973409853236754,5.977912953342843,278565,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,784.2338798977421,-0.2490581579095874,2.039996152062372,0.260125991028132,0.008694019325061753,-0.5048206836335889
vane_in19,0.3,7,8601.924114259935,0.9919519840091748,3.394645178475377,278565,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,784.2338798977421,-0.2490581579095874,2.039996152062372,0.260125991028132,0.008694019325061753,-0.5048206836335889
vane_in19,0.3,8,8700.777188494416,0.9950053695684535,3.3812143545000612,278565,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,784.2338798977421,-0.2490581579095874,2.039996152062372,0.260125991028132,0.008694019325061753,-0.5048206836335889
vane_in19,0.3,9,8754.895697313157,1.0002974009739571,4.786950535873152,278565,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,784.2338798977421,-0.2490581579095874,2.039996152062372,0.260125991028132,0.008694019325061753,-0.5048206836335889
vane_in19,0.6,0,776.5850558119935,0.9916225826595051,4.536680593319239,279168,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,781.9690786317371,-0.5371304602674098,10.768045639487468,1.377042383610491,-0.8377417340494908,-0.2388396777472046
vane_in19,0.6,1,787.3531014514809,0.997611603222528,4.545930609508832,279168,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,781.9690786317371,-0.5371304602674098,10.768045639487468,1.377042383610491,-0.8377417340494908,-0.2388396777472046
vane_in19,0.6,2,1483.0863919170215,0.9888701464079628,5.987612519078941,279168,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,781.9690786317371,-0.5371304602674098,10.768045639487468,1.377042383610491,-0.8377417340494908,-0.2388396777472046
vane_in19,0.6,3,4547.847150308533,0.99551297476674,5.7218107545980725,279168,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,781.9690786317371,-0.5371304602674098,10.768045639487468,1.377042383610491,-0.8377417340494908,-0.2388396777472046
vane_in19,0.6,4,4570.9224132538875,1.00050774297666,5.683953207314641,279168,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,781.9690786317371,-0.5371304602674098,10.768045639487468,1.377042383610491,-0.8377417340494908,-0.2388396777472046
vane_in19,0.6,5,5098.635716287599,1.0027848546393658,5.9991487617025765,279168,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,781.9690786317371,-0.5371304602674098,10.768045639487468,1.377042383610491,-0.8377417340494908,-0.2388396777472046
vane_in19,0.6,6,8121.837467810082,0.9900067285487392,5.756390005757491,279168,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,781.9690786317371,-0.5371304602674098,10.768045639487468,1.377042383610491,-0.8377417340494908,-0.2388396777472046
vane_in19,0.6,7,8462.000553370635,0.9758163552835416,3.4554214194745976,279168,1.2,1.0,1.0,1.0,4.1000000000000005,6.1000000000000005,19.0,90.0,781.9690786317371,-0.5371304602674098,10.768045639487468,1.377042383610491,-0.8377417340494908,-0.2388396777472046
