xi_d_true,dtheta_deg,depth_frac,s_bar_true_pct,eta_m0_3d,m0_matched,m0_mac,m0_purity,m0_is_dominant,nr,ntheta,nz,ndof,shape_exact,r1_mm,r2_mm,theta0_deg,dtheta_actual_deg,snap_r1_mm,snap_r2_mm,m1_matched,m1_mac,m1_purity,m1_order_agrees_mac,m2_matched,m2_mac,m2_purity,m2_order_agrees_mac,eta_bar_3d_m2,eta_bar_theory_m2,delta_eta_3d_m2,delta_eta_theory_m2,epert_fem_abs_m2,epert_fem_rel_m2,B_sign_theory_m2,B_sign_3d_m2,psi_lower_3d_m2_deg,sign_agrees_m2,m3_matched,m3_mac,m3_purity,m3_order_agrees_mac,eta_bar_3d_m3,eta_bar_theory_m3,delta_eta_3d_m3,delta_eta_theory_m3,epert_fem_abs_m3,epert_fem_rel_m3,B_sign_theory_m3,B_sign_3d_m3,psi_lower_3d_m3_deg,sign_agrees_m3,eta_bar_3d_m1,eta_bar_theory_m1,delta_eta_3d_m1,delta_eta_theory_m1,epert_fem_abs_m1,epert_fem_rel_m1,B_sign_theory_m1,B_sign_3d_m1,psi_lower_3d_m1_deg,sign_agrees_m1
0.2,15.0,0.5,0.7291666666666672,,False,0.5369845139180334,0.3904212512151249,False,20,48,4,103428,True,17.516000000000002,21.748000000000005,22.5,14.999999999999998,0.0,0.0,False,0.5409936774011984,0.5891376120967722,True,True,0.985357694699977,0.8543279979840236,True,-0.01307995079988844,-0.010922257444933877,0.01175972042310896,0.009318596162994424,0.0021576933549545627,0.16496188616955393,-,-,22.49999998628335,True,True,0.9991025365259822,0.9473284432664613,True,-0.008156455963839737,-0.006529146630380319,0.00200194244575115,0.000289102762315723,0.0016273093334594185,0.19951181501792178,+,-,22.5000000096946,False,,,,,,,,,,
0.2,30.0,0.5,1.4583333333333344,,False,0.5840000012293175,0.4430763706648095,False,20,48,4,103092,True,17.516000000000002,21.748000000000005,22.5,29.999999999999996,0.0,0.0,False,0.544376886401474,0.5014010894801918,True,True,0.943557425582882,0.7460526222575441,True,-0.026333996355539457,-0.021844514889867755,0.01917363831874098,0.016140282009522732,0.004489481465671703,0.17048234552243807,-,-,22.499999985860754,True,True,0.9956574318717359,0.8908548829562816,True,-0.018022245240457813,-0.013058293260760637,0.0057221643240363594,0.0004088530473864208,0.004963951979697175,0.2754347149018752,+,-,22.500000001175398,False,,,,,,,,,,
0.2,60.0,0.5,2.9166666666666687,,False,0.6274157220460345,0.46095587200573107,False,20,48,4,102420,True,17.516000000000002,21.748000000000005,22.49999999999997,59.99999999999999,0.0,0.0,False,0.534916311070593,0.46112610701208756,True,True,0.8730943969816435,0.6509516961586606,True,-0.05274950081873353,-0.04368902977973551,0.0036184312420650564,0.016140282009522736,0.00906047103899802,0.17176410958149338,-,-,22.49999998335897,True,True,0.9870789583067153,0.8236875441422875,True,-0.03904930437021459,-0.026116586521521275,0.0016417396747099458,5.0070057580342136e-20,0.012932717848693313,0.3311894554146764,+,-,22.499999997521254,False,,,,,,,,,,
0.5,15.0,0.5,0.7291666666666665,-0.006665850268772089,True,0.9324043401919307,0.6977346123532912,True,20,48,4,103428,True,23.864000000000004,28.096000000000004,22.5,14.999999999999998,0.0,0.0,True,0.9336309550060944,0.8124391817054116,True,True,0.9991778079175971,0.9376898811629142,True,-0.005313593758442092,-0.003264172154055922,0.008479327986931106,0.009816016631345813,0.00204942160438617,0.3856940702570845,+,+,67.49999999258479,True,True,0.9995600805999955,0.9627656408484031,True,-0.005677258350308301,-0.004474853690836825,0.009622577664044191,0.009214489636381083,0.0012024046594714755,0.21179319052940043,+,+,52.499999997025995,True,-0.004376280676836819,-0.0022492217731311694,0.001801333425061235,0.0011304926312471204,0.0021270589037056496,0.486042614899895,+,-,22.50000013807727,False
0.5,30.0,0.5,1.458333333333333,,False,0.705488177675924,0.4826791454821904,True,20,48,4,103092,True,23.864000000000004,28.096000000000004,22.5,29.999999999999996,0.0,0.0,False,0.7102319955489709,0.6587036442416723,True,True,0.9966617997954476,0.8679898588508803,True,-0.013266100843129736,-0.006528344308111844,0.010793426387555384,0.017001839533432046,0.006737756535017891,0.5078927572382543,+,+,67.50000000297244,True,True,0.9985782417394805,0.9144080391879593,True,-0.012679477058455069,-0.00894970738167365,0.012124344274003898,0.013031256214116457,0.003729769676781418,0.2941580050649086,+,+,52.499999993524895,True,,,,,,,,,,
0.5,60.0,0.5,2.916666666666666,,False,0.5177991116172919,0.4149462317602767,False,20,48,4,102420,True,23.864000000000004,28.096000000000004,22.49999999999997,59.99999999999999,0.0,0.0,False,0.48999494056462195,0.5580187982581921,False,True,0.9758725680098971,0.7813867323161128,True,-0.03186108534835319,-0.013056688616223689,0.0030673838388762154,0.01700183953343205,0.018804396732129504,0.590199502827089,+,+,67.50000013197825,True,True,0.9959438495430872,0.8550759189069207,True,-0.029212166698429187,-0.0178994147633473,0.004434150990523301,1.5958686211486773e-18,0.011312751935081886,0.3872616520324801,+,-,22.50000000405671,False,,,,,,,,,,
0.8,15.0,0.5,0.7291666666666665,0.0032878813954093644,True,0.9267893832114759,0.6589983850708246,True,20,48,4,103428,True,30.212000000000003,34.444,22.5,14.999999999999998,0.0,0.0,True,0.9177695253891831,0.7087184386181794,True,True,0.9899625093225638,0.8342096720765136,True,0.005431378118649022,0.00557258165671683,0.02586674710519012,0.021725165953524597,0.00014120353806780853,0.02599773666704886,+,+,67.50000000266242,True,True,0.9970635495508252,0.9114895720863722,True,0.00041567136189435416,0.0012526710409771333,0.02159993872108119,0.016242802354065673,0.0008369996790827791,2.013609201433291,+,+,52.49999999620345,True,0.007323361070340484,0.007358635327502691,0.019365876336838606,0.018073851192165025,3.52742571622074e-05,0.0048166759529401975,+,+,112.49999999575529,True
0.8,30.0,0.5,1.458333333333333,0.0042855410213740175,True,0.8677565203631803,0.5789191314008594,True,20,48,4,103092,True,30.212000000000003,34.444,22.5,29.999999999999996,0.0,0.0,True,0.8404150007945413,0.5858427324764246,True,True,0.9642772204731365,0.7192335398392047,True,0.012423585970051887,0.01114516331343366,0.0490042742416743,0.03762909123437016,0.0012784226566182263,0.10290287037091973,+,+,67.49999999882434,True,True,0.9899886756262838,0.8559868628772856,True,0.002555789107197892,0.0025053420819542665,0.03615050936687251,0.022970791380065313,5.044702524362567e-05,0.019738336430635554,+,+,52.50000000012715,True,0.014478245068443973,0.014717270655005383,0.037399013053493704,0.03491599929403533,0.00023902558656140917,0.01650929276521067,+,+,112.50000002292076,True
0.8,60.0,0.5,2.916666666666666,0.004968670170450773,True,0.8039788474752647,0.5296802743538805,True,20,48,4,102420,True,30.212000000000003,34.444,22.49999999999997,59.99999999999999,0.0,0.0,False,0.7311342290653113,0.5028109010208861,True,True,0.8909597632904485,0.6471764916217264,True,0.02956043781194584,0.02229032662686732,0.06501973326978312,0.037629091234370166,0.007270111185078518,0.24594057880091855,+,+,67.5000000058083,True,True,0.9811471177595057,0.8647472077571111,True,0.004131345674061038,0.005010684163908533,0.00795700134674037,2.8131106137478595e-18,0.0008793384898474954,0.21284553731935038,+,+,52.499999996231004,True,,,,,,,,,,
