config,n_vane,vane_mode,vane_arc_cells,modulation_depth,wrap_deg,n_theta,n_r,n_dof,mode,rigid,f_Hz,c_rotation,h_index,h_index_raw,deg_protected,m_dominant,m_share,alias_orders,alias_share,psi_deg,purity
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,0,True,0.0076889840559151166,0.6734260219428222,1,0.7944659878683937,2,1,0.7641362925059617,1|5|7|11,0.764136292506216,153.49275318743744,0.7641362925059617
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,1,True,0.00840243392167684,0.5022514787391692,1,0.9975155206377373,2,1,0.7704389406100515,1|5|7|11,0.7704389406102576,123.08686068614271,0.7704389406100515
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,2,True,0.009819926638719396,0.8240943929283167,1,0.5750536035959396,2,1,0.603008860654639,1|5|7|11,0.6030088606550468,70.0557897034472,0.603008860654639
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,3,True,0.010643586392926774,0.6503090884138919,1,0.8239181688374702,2,1,0.6626327160978328,1|5|7|11,0.6626327160980008,120.3913279811594,0.6626327160978328
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,4,True,0.012121425302442805,0.8084062996330517,1,0.60099144074113,2,1,0.5051831869931374,1|5|7|11,0.5051831869933349,153.71005308846009,0.5051831869931374
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,5,True,0.015008080443517483,0.5415127183427483,1,0.9535554062356191,2,1,0.812473028151786,1|5|7|11,0.8124730281520894,41.53360376467551,0.812473028151786
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,6,False,3603.410649169251,-0.5,2,2.0,2,2,0.8639654109762858,2|4|8|10,0.9999999999860985,17.6382762706257,0.8639654109762858
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,7,False,3603.410649178137,-0.4999999999999999,2,1.9999999999999998,2,2,0.8639654109843924,2|4|8|10,0.9999999999931586,62.6382762706657,0.8639654109843924
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,8,False,6197.103932052163,-1.0,3,3.0,1,3,0.9557282654770106,3|9,0.9999999999757528,37.067285519493225,0.9557282654770106
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,9,False,7620.51114048714,0.5,1,1.0,2,1,0.773539950030475,1|5|7|11,0.9999999999828899,139.43840519146093,0.773539950030475
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,10,False,7620.511140494382,0.5000000000000001,1,0.9999999999999999,2,1,0.7735399499753411,1|5|7|11,0.9999999999106937,49.438405191769824,0.7735399499753411
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,11,False,7684.692154508804,1.0,0,0.0,1,0,0.6203828292796874,0|6|12,0.9999999995759844,0.0,0.6203828292796874
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,12,False,9337.120391696411,-1.0,3,3.0,1,3,0.9258245419559932,3|9,0.999999999899767,11.127216355670614,0.9258245419559932
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,13,False,9995.68361458847,-0.5,2,2.0,2,2,0.48156333045944366,2|4|8|10,0.9999999998496993,75.16802851786127,0.48156333045944366
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,14,False,9995.683614683692,-0.5,2,2.0,2,2,0.4815633305420709,2|4|8|10,0.9999999999928857,30.16802851823574,0.4815633305420709
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,15,False,11182.069947162978,-0.9999999999999998,3,2.999999979876362,1,3,0.7947120703103349,3|9,0.9999999991069166,15.900645224998305,0.7947120703103349
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,16,False,11237.84524093459,-0.5,2,2.0,2,2,0.4086914143465268,2|4|8|10,0.999999999503317,67.2715329653943,0.4086914143465268
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,17,False,11237.845240944134,-0.5000000000000001,2,2.0,2,2,0.40869141453395597,2|4|8|10,0.9999999999403125,22.271532965985614,0.40869141453395597
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,18,False,11352.6482882042,0.5000000000000001,1,0.9999999999999999,2,1,0.4195919479225329,1|5|7|11,0.9999999990655523,3.4476970380086893,0.4195919479225329
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,19,False,11352.648288314227,0.4999999999999999,1,1.0,2,1,0.4195919483038237,1|5|7|11,0.9999999999613328,93.4476970381496,0.4195919483038237
