xi_c,half_xi,depth_frac,r1_mm,r2_mm,s_bar_pct,m,n,matched,purity,mac,ndof,nr,ntheta,nz,shape_exact,eta_lin,eta_kirchhoff_exact,eta_3d,e_lin_abs,e_lin_rel,e_modelform_abs,e_modelform_rel,e_total_abs,e_total_rel,delta_modelform,kappa_modelform,ritz_n_trial,ritz_abs_change,ritz_ntrial_rel_change,e_pert_a2_gaussian_rel
0.2,0.1,0.25,17.516000000000002,21.748000000000005,11.562500000000009,0,0,True,0.9999999995425192,0.9996418505044612,99648,20,48,4,True,-0.2126406525583216,-0.3062065979065906,-0.3359425482981095,0.093565945348269,0.3055647591787412,0.0297359503915188,0.0885149872862538,0.1233018957397879,0.3670326856911616,-0.0297359503915188,1.0971107435137304,36,2.7868545833031888e-05,9.101223168787916e-05,0.0965791371857781
0.2,0.1,0.25,17.516000000000002,21.748000000000005,11.562500000000009,1,0,True,0.9999999998062508,0.9995052495564564,99648,20,48,4,True,-0.2102564778978815,-0.2985062542128318,-0.3360215198491456,0.0882497763149502,0.2956379475119107,0.0375152656363138,0.1116454257249833,0.125765041951264,0.3742767487264665,-0.0375152656363138,1.1256766486693637,36,1.6893791719208018e-05,5.6594431375507865e-05,0.0925298031114677
0.2,0.1,0.25,17.516000000000002,21.748000000000005,11.562500000000009,2,0,True,0.999999999931132,0.9995359630973106,99648,20,48,4,True,-0.173548830340633,-0.23633174981833,-0.27047921516462,0.0627829194776969,0.2656558821485419,0.0341474653462899,0.1262480199282855,0.0969303848239869,0.3583653729732721,-0.0341474653462899,1.1444895380013027,36,6.019088366393532e-06,2.54688097177821e-05,0.0825871828746119
0.2,0.1,0.25,17.516000000000002,21.748000000000005,11.562500000000009,3,0,True,0.999999999979683,0.9995853877953726,99648,20,48,4,True,-0.1038797643883786,-0.1332647962258827,-0.1492494883553451,0.029385031837504,0.2205010825792033,0.0159846921294624,0.1071004819219532,0.0453697239669664,0.3039857922926114,-0.0159846921294624,1.1199468470455505,36,6.591517986764828e-06,4.946180967096711e-05,0.072509250044715
0.2,0.1,0.5,17.516000000000002,21.748000000000005,17.500000000000014,0,0,True,0.9999999988431209,0.9984843959555316,95616,20,48,4,True,-0.3213256004657418,-0.6158902906729766,-0.5959317130760466,0.2945646902072348,0.4782746126511706,0.0199585775969299,0.0334913835914335,0.2746061126103048,0.4608013075740818,0.0199585775969299,0.9675939401884036,36,1.4620709475554604e-05,2.373914591116336e-05,0.1595027398405866
0.2,0.1,0.5,17.516000000000002,21.748000000000005,17.500000000000014,1,0,True,0.9999999994658232,0.9974100082533316,95616,20,48,4,True,-0.317706949725334,-0.5964113675661972,-0.6248828021583941,0.2787044178408631,0.4673023235257652,0.0284714345921969,0.0455628391337613,0.30717585243306,0.4915735420658892,-0.0284714345921969,1.0477379140313532,36,1.0942317633100274e-06,1.8346930035477164e-06,0.152702176345139
0.2,0.1,0.5,17.516000000000002,21.748000000000005,17.500000000000014,2,0,True,0.999999999877582,0.9974238795932472,95616,20,48,4,True,-0.2621341263516142,-0.4642615430327269,-0.5145495395982851,0.2021274166811126,0.4353740250823752,0.0502879965655581,0.0977320796065984,0.2524154132466708,0.4905560958109777,-0.0502879965655581,1.1083182471609827,36,2.3748460960315576e-05,5.115319439379343e-05,0.1358308876340464
0.2,0.1,0.5,17.516000000000002,21.748000000000005,17.500000000000014,3,0,True,0.9999999999683788,0.9976534125193752,95616,20,48,4,True,-0.156699499618169,-0.255845285050582,-0.2815014465828943,0.0991457854324129,0.3875224255659481,0.0256561615323123,0.0911404251869707,0.1248019469647252,0.4433438921173521,-0.0256561615323123,1.1002799857235592,36,1.0881144773433604e-05,4.2530175106734296e-05,0.118335796867301
0.4,0.1,0.25,21.748000000000005,25.980000000000004,11.5625,0,0,True,0.9999999978976744,0.9985288592865932,99648,20,48,4,True,-0.0834768646541493,-0.1446379149383267,-0.1663996063393187,0.0611610502841774,0.4228562774169995,0.0217616914009919,0.1307797048306468,0.0829227416851694,0.498334963101265,-0.0217616914009919,1.1504563406508663,36,1.515835614351868e-05,0.0001048020925217,0.2056020589978045
0.4,0.1,0.25,21.748000000000005,25.980000000000004,11.5625,1,0,True,0.9999999990829618,0.9986822273343088,99648,20,48,4,True,-0.0866187127520936,-0.1409361245942388,-0.1675621889025846,0.0543174118421452,0.3854044660198183,0.0266260643083457,0.1589025810818534,0.080943476150491,0.4830652826906492,-0.0266260643083457,1.188922920826746,36,3.287465172308046e-06,2.33259228730235e-05,0.1863240665639013
0.4,0.1,0.25,21.748000000000005,25.980000000000004,11.5625,2,0,True,0.9999999998489116,0.9991432250116852,99648,20,48,4,True,-0.0912919222462012,-0.1248331663940918,-0.1512823888298996,0.0335412441478905,0.268688563438362,0.0264492224358078,0.1748334531228685,0.0599904665836983,0.3965462672006788,-0.0264492224358078,1.2118765645366152,36,3.3398104195558886e-05,0.0002675419134216,0.1274089516214011
0.4,0.1,0.25,21.748000000000005,25.980000000000004,11.5625,3,0,True,0.999999999954265,0.9995169607149474,99648,20,48,4,True,-0.0864190007573322,-0.1005693230911008,-0.1146911977744833,0.0141503223337686,0.1407021733749814,0.0141218746833824,0.1231295422613878,0.028272197017151,0.2465071214335254,-0.0141218746833824,1.1404193072930413,36,4.1961137113855074e-05,0.0004172359505278,0.0669982870399867
0.4,0.1,0.5,21.748000000000005,25.980000000000004,17.499999999999996,0,0,True,0.9999999818703236,0.992368443156645,95616,20,48,4,True,-0.1211798827682302,-0.3921244828992634,-0.4089278251494134,0.2709446001310331,0.6909657824161891,0.01680334225015,0.0410912176103703,0.2877479423811831,0.7036643746999761,-0.01680334225015,1.0428520609728589,36,1.0782051417024263e-05,2.749650146123156e-05,0.3311557966792522
0.4,0.1,0.5,21.748000000000005,25.980000000000004,17.499999999999996,1,0,True,0.9999999924718715,0.9925042227957158,95616,20,48,4,True,-0.125910721901547,-0.3631531884020148,-0.4197072030775551,0.2372424665004677,0.6532848232571142,0.0565540146755403,0.1347463523638646,0.2937964811760081,0.7000034286324107,-0.0565540146755403,1.1557304643927135,36,2.0899511058658504e-05,5.75501240967283e-05,0.3026122807241087
0.4,0.1,0.5,21.748000000000005,25.980000000000004,17.499999999999996,2,0,True,0.9999999998274752,0.995290210035426,95616,20,48,4,True,-0.1329945829178174,-0.276032056074062,-0.3506489387287395,0.1430374731562446,0.5181915288775963,0.0746168826546774,0.212796544958035,0.217654355810922,0.620718706863957,-0.0746168826546774,1.270319627785032,36,9.406243300036364e-05,0.0003407663382948,0.2123250682498687
0.4,0.1,0.5,21.748000000000005,25.980000000000004,17.499999999999996,3,0,True,0.9999999999510673,0.9972810859890028,95616,20,48,4,True,-0.1258209801214379,-0.1860363301759344,-0.2282560512027729,0.0602153500544964,0.3236752197678317,0.0422197210268384,0.1849664918163868,0.1024350710813349,0.4487726416958646,-0.0422197210268384,1.2269434200669906,36,8.593442916693395e-05,0.00046192283564,0.1131247213965198
0.6,0.1,0.25,25.980000000000004,30.212000000000003,11.5625,0,0,True,0.9999999992015,0.9992355396614964,99648,20,48,4,True,-0.000727735067468,-0.0219668494703575,-0.0260884136924378,0.0212391144028894,0.9668712134414128,0.0041215642220803,0.1579844704499998,0.0253606786249697,0.9721050472425224,-0.0041215642220803,1.1876265518932076,36,3.51618632032924e-06,0.0001600678479212,0.5932770882908464
0.6,0.1,0.25,25.980000000000004,30.212000000000003,11.5625,1,0,True,0.9999999996006712,0.9992733455277272,99648,20,48,4,True,-0.0030169014590376,-0.0223370311651472,-0.0323333468781454,0.0193201297061096,0.8649372230028055,0.0099963157129981,0.3091642739822529,0.0293164454191078,0.90669380839517,-0.0099963157129981,1.4475221276762846,36,3.0429128006215223e-06,0.0001362272711231,0.5179693205043456
0.6,0.1,0.25,25.980000000000004,30.212000000000003,11.5625,2,0,True,0.999999999933641,0.9993508500174292,99648,20,48,4,True,-0.0258978407896886,-0.0400285851976087,-0.0558152246475138,0.01413074440792,0.3530163341562273,0.0157866394499051,0.2828375152048819,0.0299173838578251,0.5360075865816256,-0.0157866394499051,1.3943841475278564,36,2.3790024484049432e-05,0.0005943258890266,0.2050761910007966
0.6,0.1,0.25,25.980000000000004,30.212000000000003,11.5625,3,0,True,0.9999999999735294,0.9994184296615056,99648,20,48,4,True,-0.0647967784972204,-0.0746014836631108,-0.0824681856862517,0.0098047051658903,0.1314277502866691,0.0078667020231408,0.0953907492650507,0.0176714071890312,0.2142815079776545,-0.0078667020231408,1.1054496725382263,36,5.590328719151661e-05,0.0007493589195084,0.0835077457146998
0.6,0.1,0.5,25.980000000000004,30.212000000000003,17.499999999999996,0,0,True,0.999999998506669,0.9908523982081724,95616,20,48,4,True,0.0193167010586337,-0.1118299117322072,-0.1368962175945856,0.1311466127908409,1.1727328651111726,0.0250663058623783,0.1831044443945962,0.1562129186532193,1.1411047098163047,-0.0250663058623783,1.2241467016660377,36,2.037661807108293e-05,0.0001822108034912,0.8783954202604792
0.6,0.1,0.5,25.980000000000004,30.212000000000003,17.499999999999996,1,0,True,0.999999999280024,0.9914308076725106,95616,20,48,4,True,0.0158178958874332,-0.0970833346659858,-0.1475650405213904,0.1129012305534191,1.1629311142005432,0.0504817058554045,0.3420980042226665,0.1633829364088237,1.107192705206762,-0.0504817058554045,1.5199832291410913,36,4.266205596792361e-06,4.394374803327672e-05,0.7964531611262272
0.6,0.1,0.5,25.980000000000004,30.212000000000003,17.499999999999996,2,0,True,0.9999999998997562,0.9935171355645488,95616,20,48,4,True,-0.0190290805576745,-0.0891323856161971,-0.1555279050179344,0.0701033050585226,0.786507671413469,0.0663955194017372,0.4269042227121941,0.1364988244602599,0.8776484480037184,-0.0663955194017372,1.7449090355063024,36,0.0001191497744517,0.001336773089018,0.3566314477576411
0.6,0.1,0.5,25.980000000000004,30.212000000000003,17.499999999999996,3,0,True,0.9999999999636182,0.9949041121672908,95616,20,48,4,True,-0.0784955698189897,-0.1174986541437005,-0.1491607236008175,0.0390030843247108,0.3319449453183535,0.031662069457117,0.212268140652433,0.0706651537818278,0.4737517496290861,-0.031662069457117,1.2694675074183777,36,0.0001687503204297,0.0014361893900789,0.1431922571256349
0.8,0.1,0.25,30.212000000000003,34.444,11.5625,0,0,True,0.9999999989849286,0.9999524361079232,99648,20,48,4,True,0.0804881157276943,0.0873694147518922,0.0923322475490682,0.0068812990241978,0.0787609605001828,0.004962832797176,0.0537497237304725,0.0118441318213738,0.1282773043630239,0.004962832797176,1.0568028618626926,36,3.573308739546199e-05,0.0004089885172853,0.0738652374509151
0.8,0.1,0.25,30.212000000000003,34.444,11.5625,1,0,True,0.9999999994988232,0.9999318711629016,99648,20,48,4,True,0.0824852937569025,0.0895443036026291,0.0880487157484126,0.0070590098457265,0.0788325952821336,0.0014955878542164,0.0169859133265484,0.0055634219915101,0.0631857255863544,-0.0014955878542164,0.9832977889821622,36,2.860411956140396e-05,0.0003194409740271,0.0718384582449253
