xi_d,s_bar,sigma_rel,n_real,seed,abs_err_xi_mm_median,abs_err_xi_mm_iqr,abs_err_xi_mm_p90,abs_err_xi_mm_p95,abs_err_s_pp_median,abs_err_s_pp_p95,bias_xi_mm,bias_s_pp,std_xi_mm,std_s_pp,crlb_xi_mm,crlb_s_pp,ratio_std_over_crlb_xi,ratio_std_over_crlb_s,boundary_hit_prob,coverage95_xi,coverage95_s,cond2,mass_coupling,n_starts,free_w,truth_model,corr_xi_s,ellipse_major,ellipse_minor,ellipse_angle_deg,n_real_requested,reduced,surrogate_half_xi,loo_xi_resid_rel_median,loo_xi_resid_rel_p95,width_transfer_resid_rel_median
0.2,0.12,0.0001,1000,20260808,2.7517682468149642,0.07041500499832498,2.817924109599174,2.834512040587594,5.314669792808696,5.466125697570899,-2.7511559300832524,5.317369963009366,0.050531353034231466,0.08761396399592872,0.022027151672569103,0.03396439017505771,2.294048444636592,2.579583014573582,0.0,0.0,0.0,17.958349736414206,exact,4,False,3d_rail_surrogate,-0.9968023875601291,0.002542858494141351,6.574713862382351e-05,159.89799735458706,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.12,0.0003,1000,20260809,2.7661314533508343,0.20812758643186724,2.965211029831265,3.0287377755609812,5.33784141173585,5.889458483311651,-2.7654464842606665,5.3678572287050885,0.15462959222701317,0.2819583778638171,0.06608145501770722,0.10189317052517297,2.3399846777825717,2.767196038856781,0.0,0.0,0.0,17.958349736414224,exact,4,False,3d_rail_surrogate,-0.9881153862657861,0.007822254529763841,0.000404895859761539,159.07168674919927,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.12,0.001,1000,20260810,2.7579313110798136,0.6821035229856025,3.510257882803617,3.7971084667204478,5.337421937439659,8.722729806925644,-2.7913205207421408,5.7586168199075125,0.5435467744468608,1.3517623391617348,0.22027151672569226,0.33964390175057896,2.4676216994671556,3.9799399671083027,0.016,0.0,0.0,17.958349736414203,exact,4,False,3d_rail_surrogate,-0.9123832715863347,0.028598438701486546,0.004970044331172333,153.48998482710826,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.12,0.003,1000,20260811,2.6842820849018993,1.6636618839707993,4.231999999999996,4.232,5.4254499655039865,11.430405379455882,-2.664657689124154,6.542793758020338,1.0725039575031774,2.404101939248894,0.6608145501770736,1.018931705251732,1.6230029396534724,2.359433833354856,0.156,0.121,0.0,17.95834973641421,exact,4,False,3d_rail_surrogate,-0.8166543200361213,0.05459933044015653,0.012880131310149054,157.50581663215166,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.135,0.0001,1000,20260812,4.2319999999999975,4.440892098500626e-15,4.232,4.232,13.697998821642363,13.71019823274939,-4.231999999999997,13.698101362871705,5.724173778807047e-15,0.007654506140007056,0.019604731547249458,0.0340405630631524,2.9197919721630407e-13,0.2248642634320219,1.0,0.0,0.0,16.379985758801503,exact,4,False,3d_rail_surrogate,0.01914820943933593,7.654506140007057e-05,2.706634737908221e-16,89.99999999999612,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.135,0.0003,1000,20260813,4.231999999999999,2.6645352591003757e-15,4.232,4.232,13.698435558326587,13.737690247245462,-4.231999999999998,13.699180509849324,8.336029917830425e-15,0.02361507962489953,0.058814194641748384,0.10212168918945724,1.417350006849064e-13,0.2312445065522622,1.0,0.0,0.0,16.379985758801507,exact,4,False,3d_rail_surrogate,-0.029405698651988686,0.00023615079624899525,3.9460031845149383e-16,90.00000000000283,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.135,0.001,1000,20260814,4.2319999999999975,8.881784197001252e-15,4.232,4.232,13.675463022378457,13.823858245039624,-3.9068379015638537,12.585483331729167,0.8118093634126079,2.6324088921851154,0.19604731547249574,0.340405630631526,4.140884874939793,7.733153201083742,0.826,0.0,0.0,16.379985758801517,exact,4,False,3d_rail_surrogate,-0.9826358016354402,0.04635201234028615,0.0040427044249160505,145.71384738326773,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.135,0.003,1000,20260815,3.7724335116213537,2.8398811118504526,4.232,4.232,10.507412294481977,14.009561622322833,-2.9457976120520724,10.133225386981083,1.427153579007975,3.516180133906366,0.5881419464174847,1.0212168918945739,2.4265461555685897,3.443127666428535,0.447,0.181,0.0,16.37998575880151,exact,4,False,3d_rail_surrogate,-0.9066020037167628,0.07487766564621806,0.013365114048326797,153.8046304647398,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.15,0.0001,1000,20260816,4.231999999999999,4.440892098500626e-15,4.232,4.232,16.671046824939342,16.685204315132054,-4.2319999999999975,16.67119591551101,4.183045543988981e-15,0.008258203156248421,0.01766961943304832,0.034126231691299164,2.367365952525969e-13,0.24198989302278973,1.0,0.0,0.0,15.164527583165933,exact,4,False,3d_rail_surrogate,-0.02949942455344129,8.258203156248421e-05,1.9922953872969176e-16,90.00000000000408,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.15,0.0003,1000,20260817,4.231999999999999,4.440892098500626e-15,4.232,4.232,16.670868856229795,16.707164392056384,-4.231999999999985,16.6704990287654,3.19219683909611e-13,0.022732487155077183,0.053008858299144895,0.1023786950738974,6.022006399537197e-12,0.22204314226381547,1.0,0.0,0.0,15.16452758316593,exact,4,False,3d_rail_surrogate,0.10978700583405183,0.00022732487155077184,1.4994663123925568e-14,89.99999999958256,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.15,0.001,1000,20260818,4.231999999999999,6.217248937900877e-15,4.232,4.232,16.66718454949941,16.801378173313285,-4.036228821119254,16.013419563758045,0.6996940635255986,2.354378520352035,0.17669619433048214,0.3412623169129897,3.959870591309578,6.899028705101131,0.927,0.0,0.0,15.164527583165933,exact,4,False,3d_rail_surrogate,-0.9959134913014853,0.04055513804294321,0.0017336842329180836,144.58522658615334,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.2,0.15,0.003,1000,20260819,4.231999999999993,2.8181913000932832,4.232,4.232,16.455137837944154,17.002769441048095,-3.1475665754584443,13.522942429396025,1.4639890580656303,4.0324390578027565,0.5300885829914499,1.0237869507389756,2.7617819078537744,3.938748247271678,0.599,0.144,0.0,15.164527583165935,exact,4,False,3d_rail_surrogate,-0.952018508030998,0.07935411336157845,0.010759680514844366,150.3764818828921,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.12,0.0001,1000,20260820,1.9150176955562932,0.035408551176326464,1.947804251430806,1.956727107008411,3.1427932779633876,3.1959279614191614,-1.914732467830789,3.1427899003565765,0.02558077422588521,0.03200225937727656,0.01634340669219025,0.03153547292410423,1.5652045321804946,1.0148019487228155,0.0,0.0,0.0,12.016764367998958,exact,4,False,3d_rail_surrogate,0.983205865895554,0.001249284166450514,5.651713444652537e-05,-165.38061192412331,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.12,0.0003,1000,20260821,1.9125786979000767,0.10563167190077949,2.014568176362282,2.050497242403305,3.1450119576603264,3.303941496521106,-1.9145760870321997,3.1450815434441513,0.07922291337846746,0.09699026462283744,0.04903022007657072,0.09460641877231264,1.6157976295995544,1.0251975064848606,0.0,0.0,0.0,12.016764367998963,exact,4,False,3d_rail_surrogate,0.9823320513136442,0.0038635816473969716,0.00017589539183606777,-165.69221285460924,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.12,0.001,1000,20260822,1.904276556775352,0.35454967314038566,2.258402930021437,2.3977147029821917,3.155295397614967,3.6969177083539155,-1.9337263348207994,3.160482903843643,0.26730983332057706,0.3084424399323036,0.16343406692190246,0.3153547292410423,1.6355820934708305,0.9780809080448091,0.0,0.0,0.0,12.016764367998961,exact,4,False,3d_rail_surrogate,0.9590697733157926,0.012976055827265178,0.0008503108549390059,-166.76283040459418,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.12,0.003,1000,20260823,1.89803866570618,1.1209873460732969,3.7581390181655006,5.289999999999996,3.4004597585264085,8.156300136277174,-2.221380781079567,3.747276521553126,1.1235563383779363,1.4222015155228096,0.4903022007657074,0.946064187723127,2.291558831723114,1.5032822655993274,0.06,0.048,0.0,12.016764367998956,exact,4,False,3d_rail_surrogate,-0.43233330044073626,0.05347451604548831,0.01273392297888509,172.99550625026365,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.135,0.0001,1000,20260824,1.7176065879421007,0.02814208121479478,1.7434505521189985,1.7503285151284793,4.706674784732122,4.762835640871633,-1.7172289982190536,4.706438092719167,0.020320961005101952,0.035235185154036446,0.01454995307566149,0.03164038633512082,1.3966341265453248,1.1136142517616923,0.0,0.0,0.0,11.089010325172573,exact,4,False,3d_rail_surrogate,0.984656295648238,0.0010213114477065069,5.781688655339376e-05,-160.07012415826335,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.135,0.0003,1000,20260825,1.7177857603181244,0.0781977559365079,1.7998339080858075,1.8209394387429458,4.70586065283411,4.888814353924191,-1.7191031697052177,4.70600924492067,0.061788642904806484,0.10567459228173369,0.043649859226984444,0.0949211590053624,1.4155519398928231,1.1132880528330231,0.0,0.0,0.0,11.089010325172566,exact,4,False,3d_rail_surrogate,0.9845569068845513,0.0031005085326577344,0.00017423265989390197,-160.3242118105128,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.135,0.001,1000,20260826,1.7181821210628268,0.27800435898699205,2.021839259515493,2.157813158787834,4.699372374702887,5.293749607788587,-1.737466478017476,4.702794215651377,0.22421218943254448,0.36522352510679185,0.14549953075661476,0.3164038633512079,1.5409822166890474,1.1542954034710828,0.0,0.0,0.0,11.089010325172575,exact,4,False,3d_rail_surrogate,0.9777979668673158,0.011184325763074536,0.0007250698193909254,-161.2932704582414,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.135,0.003,1000,20260827,1.718424807066,0.9391197216324256,4.4661903889071874,5.289999999999999,5.009988137846056,10.619636893844637,-2.076250164235299,5.48852877503995,1.2037673713077617,1.8591238468983706,0.4364985922698445,0.9492115900536242,2.7577806495274784,1.9585979210318558,0.092,0.034,0.0,11.089010325172572,exact,4,False,3d_rail_surrogate,-0.6022447164296545,0.05805569985854255,0.014543293323603799,168.1086597098256,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.15,0.0001,1000,20260828,1.7399851431507702,0.02423614113329675,1.7648998872966104,1.7726439399131448,6.474656638566056,6.536413415546979,-1.7400320722542029,6.47331659687413,0.01891543698456406,0.038165739716154626,0.013117970700516662,0.031759674454219476,1.441948409277897,1.2017043742425408,0.0,0.0,0.0,10.394999358056246,exact,4,False,3d_rail_surrogate,0.9886034330244939,0.0009705474790650619,5.291986525383143e-05,-157.04419830644142,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.15,0.0003,1000,20260829,1.7446158200527886,0.07780680157335795,1.8152054899824799,1.8368698132251655,6.461816713675766,6.661158212812406,-1.7443360821031648,6.466332261147758,0.05751947243342799,0.11500017295419035,0.039353912101549836,0.09527902336265806,1.4615947783031906,1.2069831206861579,0.0,0.0,0.0,10.394999358056243,exact,4,False,3d_rail_surrogate,0.9882501544212565,0.0029471065014777353,0.0001621263052774782,-157.2381001100635,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.15,0.001,1000,20260830,1.7223654963298758,0.24807433224430353,2.001831625594617,2.097071266884697,6.504165154995347,7.098500749846925,-1.7473574301654198,6.485966151216812,0.19508905907407362,0.3722173633124884,0.1311797070051663,0.31759674454219394,1.4871893185917116,1.1719810410809735,0.0,0.0,0.0,10.394999358056245,exact,4,False,3d_rail_surrogate,0.979927844334534,0.009918765051276375,0.0006897281731151625,-158.30524926036065,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.15,0.003,1000,20260831,1.7007837402611148,0.7582428438473645,5.289999999999989,5.289999999999999,6.93216208337071,13.562676973896838,-2.1061733350179974,7.648110344360373,1.2730986119892393,2.3633938156128584,0.3935391210154992,0.9527902336265828,3.2349988705166095,2.4804975242211804,0.124,0.01,0.0,10.39499935805624,exact,4,False,3d_rail_surrogate,-0.7625480723457662,0.06296832687416339,0.014608938386366064,162.34329215738322,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.3,0.12,0.0001,1000,20260832,1.787294517730258,0.021928814884434766,1.8070268940250553,1.8129126065319012,3.0226643937230513,3.0801213220670345,-1.7868994485821277,3.0238905744482727,0.015782189165875846,0.033542761516451435,0.013970176851154105,0.02968996139798406,1.1297057534795663,1.1297677712281895,0.0,0.0,0.0,8.833953538064184,exact,4,False,3d_rail_surrogate,0.9786894296009602,0.0008153737851217894,6.30057238147429e-05,-156.0920628490001,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.3,0.12,0.0003,1000,20260833,1.784664587364119,0.0644055542313966,1.846752846461841,1.8617095774271142,3.0258820178746677,3.18201224204642,-1.7869235268796362,3.0250914058486704,0.04673951196901873,0.09959185171840934,0.04191053055346222,0.089069884193952,1.1152211950501683,1.1181315954284334,0.0,0.0,0.0,8.833953538064188,exact,4,False,3d_rail_surrogate,0.9805633822097106,0.0024164061540850905,0.00017861877401601308,-156.0099474109832,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
