a_bar,convention_default,c_MM,c_QQ,c_MQ_max,c_MM_int,c_QQ_int,handbook_scale,c_MM_dimarogonas,c_MM_tada_over_dimarogonas
0.1,tada,0.0032988563307898414,1.0269260828243896e-10,5.820379377307334e-07,0.0032988563307898414,1.0269260828243896e-10,1.0,0.0026599725490991507,1.2401843514915447
0.2,tada,0.012662071742748842,4.141045726477385e-10,2.289851918327038e-06,0.012662071742748842,4.141045726477385e-10,1.0,0.010113064725201577,1.2520508952340812
0.3,tada,0.029223048510561348,9.469075493560902e-10,5.260373109376348e-06,0.029223048510561348,9.469075493560902e-10,1.0,0.023311236927897324,1.2536035132305299
0.4,tada,0.05696787774527589,1.7299052947785546e-09,9.927186577467462e-06,0.05696787774527589,1.7299052947785546e-09,1.0,0.045235238860131505,1.2593694469354302
0.5,tada,0.1050425732435285,2.820725548847446e-09,1.7213258554518374e-05,0.1050425732435285,2.820725548847446e-09,1.0,0.08282616834520723,1.2682292968778488
0.6,tada,0.1956563859746121,4.3325271535183115e-09,2.9115058045524592e-05,0.1956563859746121,4.3325271535183115e-09,1.0,0.1537228728920286,1.2727864259474035
